"","GEOID","numberCrimes","STATEFP","COUNTYFP","TRACTCE","NAME","NAMELSAD","MTFCC","FUNCSTAT","ALAND","AWATER","INTPTLAT","INTPTLON","name","state","county","tract","TOTAL","MEDIANHOUSEINCOME","BLACK","UNEMPLOYED","INLABORFORCE","POVERTY"
"70","36067002901",6,"36","067","002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651","Census Tract 29.01, Onondaga County, New York","36","067","002901",2745,56230,61,76,1917,342
"71","36067002901",6,"36","067","002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651","Census Tract 29.01, Onondaga County, New York","36","067","002901",2745,56230,61,76,1917,342
"72","36067002901",6,"36","067","002901","29.01","Census Tract 29.01","G5020","S",1870601,0,"+43.0441999","-076.1820651","Census Tract 29.01, Onondaga County, New York","36","067","002901",2745,56230,61,76,1917,342
"73","36067003200",18,"36","067","003200","32","Census Tract 32","G5020","S",1257710,0,"+43.0480192","-076.1502406","Census Tract 32, Onondaga County, New York","36","067","003200",2428,50053,544,57,986,661
"74","36067003200",18,"36","067","003200","32","Census Tract 32","G5020","S",1257710,0,"+43.0480192","-076.1502406","Census Tract 32, Onondaga County, New York","36","067","003200",2428,50053,544,57,986,661
"75","36067003200",18,"36","067","003200","32","Census Tract 32","G5020","S",1257710,0,"+43.0480192","-076.1502406","Census Tract 32, Onondaga County, New York","36","067","003200",2428,50053,544,57,986,661
"76","36067003400",8,"36","067","003400","34","Census Tract 34","G5020","S",862304,0,"+43.0486569","-076.1342713","Census Tract 34, Onondaga County, New York","36","067","003400",1213,13224,364,36,507,667
"77","36067003400",8,"36","067","003400","34","Census Tract 34","G5020","S",862304,0,"+43.0486569","-076.1342713","Census Tract 34, Onondaga County, New York","36","067","003400",1213,13224,364,36,507,667
"78","36067003400",8,"36","067","003400","34","Census Tract 34","G5020","S",862304,0,"+43.0486569","-076.1342713","Census Tract 34, Onondaga County, New York","36","067","003400",1213,13224,364,36,507,667
"79","36067003500",8,"36","067","003500","35","Census Tract 35","G5020","S",1137159,0,"+43.0479841","-076.1200134","Census Tract 35, Onondaga County, New York","36","067","003500",2291,16304,1007,176,989,1272
